name,price,Actualprice
"Samsung Galaxy A8 (Gold, 32 GB)","₹16,999","₹35,000"
"Samsung Galaxy A6+ (Black, 64 GB)","₹17,199",
"Samsung Galaxy A30 (Red, 64 GB)","₹17,500","₹18,374"
,,
,,
,,
,,
"Samsung Galaxy S6 Edge (Gold Platinum, 32 GB)","₹22,999","₹49,999"
"Samsung Galaxy A6 (Gold, 64 GB)","₹25,500",
"Samsung Galaxy A7-2017 (Gold Sand, 32 GB)","₹25,900",
"Samsung Galaxy C7 Pro (Navy Blue, 64 GB)","₹26,600",
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹27,450","₹30,700"
"Samsung Galaxy A70 (White, 128 GB)","₹28,990","₹30,900"
"Samsung Galaxy A70 (Black, 128 GB)","₹28,990","₹30,900"
"Samsung Galaxy A70 (Blue, 128 GB)","₹28,990","₹30,900"
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","₹30,100","₹35,000"
"Samsung Galaxy A9 (Caviar Black, 128 GB)","₹30,790","₹36,990"
"Samsung Galaxy A9 (Lemonade Blue, 128 GB)","₹30,990","₹36,990"
"Samsung Galaxy A8 Star (White, 64 GB)","₹34,900","₹38,000"
"Samsung Galaxy A9 (Bubblegum Pink, 128 GB)","₹34,999",
"Samsung Galaxy Note 8 (Maple Gold, 64 GB)","₹36,990","₹74,000"
"Samsung Galaxy Note 8 (Midnight Black, 64 GB)","₹36,990","₹74,000"
"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)","₹36,990","₹74,000"
"Samsung Galaxy S6 Edge (Black Sapphire, 32 GB)","₹37,299",
"Samsung Galaxy S7 Edge (Pink Gold, 32 GB)","₹39,998","₹50,999"
"Samsung Galaxy S4 (White Frost, 16 GB)","₹40,690",
"Samsung Galaxy S9 Plus (Burgundy Red, 64 GB)","₹50,499","₹68,277"
"Samsung Galaxy S10e (Prism Black, 128 GB)","₹50,900","₹59,000"
"Samsung Galaxy S10e (Prism White, 128 GB)","₹50,900","₹59,000"
"Samsung Galaxy S8 Plus (Midnight Black, 64 GB)","₹53,990",
"Samsung Galaxy S8 Plus (Orchid Grey, 64 GB)","₹53,990",
,,
,,
,,
,,
"Samsung Galaxy S9 Plus (Midnight Black, 256 GB)","₹63,999",
"Samsung Galaxy S9 (Midnight Black, 256 GB)","₹65,900",
"Samsung Galaxy Note 9 (Lavender Purple, 128 GB)","₹67,900","₹73,600"
"Samsung Galaxy Note 9 (Midnight Black, 128 GB)","₹67,900","₹73,600"
"Samsung Galaxy Note 9 (Alpine White, 128 GB)","₹67,900","₹73,600"
"Samsung Galaxy Note 9 (Ocean Blue, 128 GB)","₹67,900","₹73,600"
"Samsung Galaxy Note 9 (Metallic Copper, 128 GB)","₹67,900","₹73,600"
"Samsung Galaxy S10 Plus (Prism Black, 128 GB)","₹73,900","₹79,000"
"Samsung Galaxy S10 Plus (Prism White, 128 GB)","₹73,900","₹79,000"
"Samsung Galaxy S10 Plus (Prism Blue, 128 GB)","₹73,900","₹79,000"
